year,season,noc,team,sport,event,medal
2006,Winter,RUS,Russia,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
2006,Winter,RUS,Russia,Biathlon,Biathlon Women's 15 kilometres,Bronze
2006,Winter,RUS,Russia,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
2016,Summer,UZB,Uzbekistan,Boxing,Boxing Men's Bantamweight,Bronze
2016,Summer,RUS,Russia,Fencing,"Fencing Men's Foil, Team",Gold
2008,Summer,RUS,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
1964,Summer,BUL,Bulgaria,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
1980,Summer,URS,Soviet Union,Hockey,Hockey Women's Hockey,Bronze
1960,Summer,URS,Soviet Union,Rowing,Rowing Men's Coxless Fours,Bronze
1972,Summer,UGA,Uganda,Athletics,Athletics Men's 400 metres Hurdles,Gold
1972,Summer,URS,Soviet Union,Water Polo,Water Polo Men's Water Polo,Gold
1980,Summer,URS,Soviet Union,Water Polo,Water Polo Men's Water Polo,Gold
2016,Summer,USA,United States,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
2012,Summer,USA,United States,Volleyball,Volleyball Women's Volleyball,Silver
2004,Summer,RUS,Russia,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
2008,Summer,RUS,Russia,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
2000,Summer,RUS,Russia,Water Polo,Water Polo Women's Water Polo,Bronze
1992,Summer,EUN,Unified Team,Weightlifting,Weightlifting Men's Heavyweight II,Silver
2016,Summer,USA,United States,Fencing,"Fencing Women's Sabre, Team",Bronze
1976,Summer,URS,Soviet Union,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
1976,Summer,URS,Soviet Union,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1980,Summer,URS,Soviet Union,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
1996,Summer,RUS,Russia,Rowing,Rowing Men's Coxed Eights,Bronze
1980,Summer,URS,Soviet Union,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1976,Summer,URS,Soviet Union,Sailing,Sailing Mixed Two Person Keelboat,Silver
2004,Summer,SYR,Syria,Boxing,Boxing Men's Heavyweight,Bronze
2012,Summer,QAT,Qatar,Shooting,Shooting Men's Skeet,Bronze
2000,Summer,KUW,Kuwait,Shooting,Shooting Men's Double Trap,Bronze
2012,Summer,KUW,Kuwait,Shooting,Shooting Men's Trap,Bronze
2016,Summer,IOA,Individual Olympic Athletes,Shooting,Shooting Men's Double Trap,Gold
2012,Summer,KSA,Saudi Arabia,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2000,Summer,KSA,Saudi Arabia,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
2004,Summer,UAE,United Arab Emirates,Shooting,Shooting Men's Double Trap,Gold
2016,Summer,IOA,Individual Olympic Athletes,Shooting,Shooting Men's Skeet,Bronze
2000,Summer,KSA,Saudi Arabia,Athletics,Athletics Men's 400 metres Hurdles,Silver
2012,Summer,ESP,Spain,Sailing,Sailing Women's Windsurfer,Gold
1964,Summer,URS,Soviet Union,Basketball,Basketball Men's Basketball,Silver
1972,Summer,URS,Soviet Union,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
1956,Summer,PAK,Pakistan,Hockey,Hockey Men's Hockey,Silver
1992,Summer,CRO,Croatia,Basketball,Basketball Men's Basketball,Silver
1994,Winter,FIN,Finland,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1960,Winter,FIN,Finland,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
1968,Summer,ITA,Italy,Sailing,Sailing Mixed One Person Dinghy,Bronze
1992,Winter,ITA,Italy,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Silver
1992,Winter,ITA,Italy,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
1994,Winter,ITA,Italy,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Bronze
1994,Winter,ITA,Italy,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
1998,Winter,ITA,Italy,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
1920,Summer,FRA,France-3,Tennis,Tennis Men's Doubles,Bronze
2012,Summer,RUS,Russia,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
2000,Summer,ESP,Spain,Football,Football Men's Football,Silver
1984,Summer,FRG,West Germany,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1976,Summer,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Silver
1900,Summer,FRA,Martha-1,Sailing,Sailing Mixed 1-2 Ton,Silver
1900,Summer,FRA,Martha-1,Sailing,Sailing Mixed 1-2 Ton,Bronze
1960,Summer,HUN,Hungary,Football,Football Men's Football,Bronze
1920,Summer,DEN,Denmark,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
1948,Summer,SWE,Sweden,Athletics,"Athletics Men's 10,000 metres",Bronze
1968,Summer,ITA,Italy,Rowing,Rowing Men's Coxless Fours,Bronze
2008,Summer,RUS,Russia,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
1924,Summer,SUI,Switzerland,Rowing,Rowing Men's Coxless Fours,Bronze
1924,Summer,SUI,Switzerland,Rowing,Rowing Men's Coxed Fours,Gold
1980,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze
2002,Winter,SUI,Switzerland,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
1976,Summer,SWE,Sweden,Sailing,Sailing Mixed Two Person Keelboat,Gold
1952,Winter,USA,United States,Figure Skating,Figure Skating Women's Singles,Silver
1956,Winter,USA,United States,Figure Skating,Figure Skating Women's Singles,Gold
1936,Summer,USA,United States,Athletics,Athletics Men's High Jump,Silver
1960,Summer,URS,Soviet Union,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
1996,Summer,BRA,Brazil,Football,Football Men's Football,Bronze
1976,Summer,CUB,Cuba,Boxing,Boxing Men's Light-Welterweight,Silver
1980,Summer,CUB,Cuba,Boxing,Boxing Men's Welterweight,Gold
1920,Summer,GBR,Great Britain,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1920,Summer,GBR,Great Britain,Cycling,Cycling Men's 50 kilometres,Silver
1924,Summer,GBR,Great Britain,Cycling,Cycling Men's 50 kilometres,Silver
1928,Summer,USA,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
1952,Summer,USA,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
2008,Summer,ESP,Spain,Hockey,Hockey Men's Hockey,Silver
2012,Summer,NZL,New Zealand,Sailing,Sailing Women's Two Person Dinghy,Gold
2016,Summer,NZL,New Zealand,Sailing,Sailing Women's Two Person Dinghy,Silver
2000,Summer,LTU,Lithuania,Athletics,Athletics Men's Discus Throw,Gold
2004,Summer,LTU,Lithuania,Athletics,Athletics Men's Discus Throw,Gold
2008,Summer,LTU,Lithuania,Athletics,Athletics Men's Discus Throw,Bronze
1976,Winter,URS,Soviet Union,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
1980,Summer,BUL,Bulgaria,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
1960,Winter,URS,Soviet Union,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1964,Winter,URS,Soviet Union,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
1968,Winter,URS,Soviet Union,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
1984,Winter,URS,Soviet Union-2,Bobsleigh,Bobsleigh Men's Two,Bronze
1976,Summer,URS,Soviet Union,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
1980,Summer,URS,Soviet Union,Rowing,Rowing Women's Double Sculls,Gold
2012,Summer,ARM,Armenia,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
2016,Summer,ARM,Armenia,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
1972,Summer,URS,Soviet Union,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
1976,Summer,URS,Soviet Union,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
1964,Summer,URS,Soviet Union,Diving,Diving Women's Platform,Bronze
2012,Summer,SRB,Serbia,Water Polo,Water Polo Men's Water Polo,Bronze
2016,Summer,SRB,Serbia,Water Polo,Water Polo Men's Water Polo,Gold
1932,Summer,USA,United States,Fencing,"Fencing Men's Foil, Team",Bronze
1932,Summer,GER,Germany,Rowing,Rowing Men's Coxless Fours,Silver
2012,Summer,BRA,Brazil,Football,Football Men's Football,Silver
1908,Summer,GBR,Great Britain,Lacrosse,Lacrosse Men's Lacrosse,Silver
1996,Summer,CAN,Canada,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
1960,Summer,GBR,Great Britain,Fencing,"Fencing Men's epee, Team",Silver
2000,Summer,CAN,Canada,Rowing,Rowing Women's Coxed Eights,Bronze
1984,Summer,FRA,France,Judo,Judo Men's Half-Lightweight,Bronze
1988,Summer,FRA,France,Judo,Judo Men's Lightweight,Gold
2008,Summer,BRA,Brazil,Football,Football Men's Football,Bronze
1980,Summer,ROU,Romania,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
1972,Summer,ROU,Romania,Boxing,Boxing Men's Heavyweight,Silver
1976,Summer,URS,Soviet Union,Diving,Diving Men's Platform,Bronze
1980,Summer,URS,Soviet Union,Diving,Diving Men's Platform,Silver
2000,Summer,RUS,Russia,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
2016,Summer,NIG,Niger,Taekwondo,Taekwondo Men's Heavyweight,Silver
1976,Summer,URS,Soviet Union,Athletics,Athletics Women's Long Jump,Bronze
1984,Summer,USA,United States,Basketball,Basketball Men's Basketball,Gold
1924,Summer,SWE,Sweden,Football,Football Men's Football,Bronze
2006,Winter,SWE,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
2014,Winter,SWE,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
1912,Summer,FIN,Heatherbell,Sailing,Sailing Mixed 12 metres,Bronze
1948,Summer,BRA,Brazil,Basketball,Basketball Men's Basketball,Bronze
1960,Summer,BRA,Brazil,Basketball,Basketball Men's Basketball,Bronze
1994,Winter,SWE,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
2012,Summer,SWE,Sweden,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
2016,Summer,USA,United States,Athletics,Athletics Women's 100 metres Hurdles,Silver
1928,Summer,IND,India,Hockey,Hockey Men's Hockey,Gold
1964,Summer,IND,India,Hockey,Hockey Men's Hockey,Gold
1920,Summer,FRA,France,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
1972,Summer,IRI,Iran,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
1908,Summer,FRA,France,Fencing,"Fencing Men's epee, Individual",Gold
1908,Summer,FRA,France,Fencing,"Fencing Men's epee, Team",Gold
2000,Summer,RUS,Russia,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
2004,Summer,RUS,Russia,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
1980,Winter,URS,Soviet Union,Biathlon,Biathlon Men's 10 kilometres Sprint,Silver
1980,Winter,URS,Soviet Union,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
2012,Summer,CRO,Croatia,Handball,Handball Men's Handball,Bronze
2004,Summer,BRA,Brazil,Football,Football Women's Football,Silver
2004,Summer,RUS,Russia,Shooting,Shooting Men's Trap,Gold
2008,Summer,RUS,Russia,Shooting,Shooting Men's Trap,Bronze
1906,Summer,GRE,Greece,Gymnastics,Gymnastics Men's Rope Climbing,Gold
2012,Summer,BRA,Brazil-1,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
2016,Summer,BRA,Brazil-1,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
2004,Summer,NGR,Nigeria,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2008,Summer,RUS,Russia,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
2016,Summer,IRI,Iran,Taekwondo,Taekwondo Women's Featherweight,Bronze
1920,Summer,BEL,Belgium,Archery,"Archery Men's Target Archery, 28 metres, Team",Silver
1920,Summer,BEL,Belgium,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
1920,Summer,BEL,Belgium,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
1992,Winter,EUN,Unified Team,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
1936,Winter,FRA,France,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
2000,Summer,ALG,Algeria,Boxing,Boxing Men's Light-Welterweight,Bronze
1984,Summer,GBR,Great Britain,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
1992,Winter,FRA,France,Freestyle Skiing,Freestyle Skiing Men's Moguls,Silver
1984,Summer,GBR,Great Britain,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
1988,Summer,GBR,Great Britain,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
1900,Summer,FRA,USFSA,Football,Football Men's Football,Silver
1972,Summer,USA,United States,Sailing,Sailing Mixed Three Person Keelboat,Gold
1996,Summer,USA,United States,Baseball,Baseball Men's Baseball,Bronze
2004,Summer,AUT,Austria,Triathlon,Triathlon Women's Olympic Distance,Gold
2000,Summer,AUS,Australia,Hockey,Hockey Women's Hockey,Gold
2016,Summer,JAM,Jamaica,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1932,Summer,IND,India,Hockey,Hockey Men's Hockey,Gold
1936,Summer,IND,India,Hockey,Hockey Men's Hockey,Gold
1964,Winter,USA,United States,Figure Skating,Figure Skating Men's Singles,Bronze
1920,Summer,USA,United States,Polo,Polo Men's Polo,Bronze
2008,Summer,USA,United States,Rowing,Rowing Men's Coxed Eights,Bronze
2000,Summer,AUS,Australia,Softball,Softball Women's Softball,Bronze
2004,Summer,AUS,Australia,Softball,Softball Women's Softball,Silver
2008,Summer,AUS,Australia,Softball,Softball Women's Softball,Bronze
2000,Summer,GBR,Great Britain,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
1920,Summer,NOR,Heira II,Sailing,Sailing Mixed 12 metres,Gold
1912,Summer,DEN,Nykjbings paa Falster,Rowing,"Rowing Men's Coxed Fours, Inriggers",Gold
2012,Summer,TTO,Trinidad and Tobago,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1968,Summer,GBR,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
1968,Summer,GBR,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
1908,Summer,GBR,Ireland-2,Hockey,Hockey Men's Hockey,Silver
1920,Summer,ITA,Italy,Fencing,"Fencing Men's epee, Team",Gold
1964,Summer,USA,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
2004,Summer,ITA,Italy,Water Polo,Water Polo Women's Water Polo,Gold
1920,Summer,SWE,Sweden,Athletics,"Athletics Men's Cross-Country, Team",Bronze
1996,Summer,ARG,Argentina,Football,Football Men's Football,Silver
1936,Summer,SWE,Sweden,Fencing,"Fencing Men's epee, Team",Silver
1904,Summer,CAN,Mohawk Indians-2,Lacrosse,Lacrosse Men's Lacrosse,Bronze
1952,Summer,SWE,Tornado,Sailing,Sailing Mixed Three Person Keelboat,Silver
1912,Summer,SWE,Sweden,Athletics,Athletics Men's Triple Jump,Bronze
1920,Summer,SWE,Sweden,Athletics,Athletics Men's Triple Jump,Bronze
1952,Winter,SWE,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1920,Summer,SWE,Elsie,Sailing,Sailing Mixed 40 metres,Silver
1948,Summer,SWE,Sweden,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
2012,Summer,RUS,Russia,Boxing,Boxing Men's Flyweight,Bronze
2000,Summer,NGR,Nigeria,Athletics,Athletics Women's 100 metres Hurdles,Silver
1994,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
1994,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
1998,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,Gold
1998,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
2002,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Gold
2002,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
2000,Summer,SWE,Sweden,Swimming,Swimming Women's 50 metres Freestyle,Silver
2000,Summer,SWE,Sweden,Swimming,Swimming Women's 100 metres Freestyle,Silver
2000,Summer,SWE,Sweden,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1988,Summer,URS,Soviet Union,Fencing,"Fencing Men's Sabre, Team",Silver
2012,Summer,NOR,Norway,Handball,Handball Women's Handball,Gold
2016,Summer,NOR,Norway,Handball,Handball Women's Handball,Bronze
1956,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Four,Gold
2008,Summer,GER,Germany,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
1992,Summer,GER,Germany,Rowing,Rowing Women's Coxless Pairs,Silver
1912,Summer,ITA,Italy,Athletics,Athletics Men's 10 kilometres Walk,Bronze
2014,Winter,SUI,Switzerland,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
1948,Winter,GBR,Great Britain,Figure Skating,Figure Skating Women's Singles,Bronze
1952,Winter,GBR,Great Britain,Figure Skating,Figure Skating Women's Singles,Gold
2000,Summer,CHI,Chile,Football,Football Men's Football,Bronze
2014,Winter,USA,United States,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
1928,Summer,ESP,Spain,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
1972,Summer,CUB,Cuba,Basketball,Basketball Men's Basketball,Bronze
2012,Summer,CUB,Cuba,Boxing,Boxing Men's Bantamweight,Bronze
2016,Summer,CUB,Cuba,Boxing,Boxing Men's Lightweight,Bronze
2012,Summer,COL,Colombia,Judo,Judo Women's Middleweight,Bronze
2016,Summer,COL,Colombia,Judo,Judo Women's Middleweight,Silver
1956,Winter,ITA,Italy-2,Bobsleigh,Bobsleigh Men's Two,Silver
1956,Winter,ITA,Italy-2,Bobsleigh,Bobsleigh Men's Four,Silver
2012,Summer,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Silver
1920,Summer,ITA,Italy,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
1924,Summer,ITA,Italy,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
2004,Summer,EGY,Egypt,Boxing,Boxing Men's Super-Heavyweight,Silver
1980,Winter,URS,Soviet Union,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
1980,Winter,URS,Soviet Union,Biathlon,Biathlon Men's 20 kilometres,Gold
1980,Summer,URS,Soviet Union,Fencing,"Fencing Men's Sabre, Team",Gold
2000,Summer,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Bronze
2006,Winter,RUS,Russia,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Bronze
1920,Summer,LUX,Luxembourg,Weightlifting,Weightlifting Men's Heavyweight,Silver
1904,Summer,USA,Mound City Rowing Club-2,Rowing,Rowing Men's Coxless Fours,Silver
1996,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
1996,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1996,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Floor Exercise,Silver
1996,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Horse Vault,Gold
2000,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Individual All-Around,Gold
2000,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Gold
2000,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
1928,Summer,GER,Germany,Water Polo,Water Polo Men's Water Polo,Gold
1980,Winter,URS,Soviet Union,Luge,Luge Women's Singles,Bronze
2004,Summer,ITA,Italy,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
1972,Summer,GHA,Ghana,Boxing,Boxing Men's Middleweight,Bronze
1996,Summer,ESP,Spain,Hockey,Hockey Men's Hockey,Silver
1996,Summer,FRA,France,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
1996,Summer,FRA,France,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
1980,Summer,ESP,Spain,Hockey,Hockey Men's Hockey,Silver
1960,Summer,ESP,Spain,Hockey,Hockey Men's Hockey,Bronze
1932,Summer,ESP,Spain,Sailing,Sailing Mixed One Person Dinghy,Bronze
2000,Summer,ARG,Argentina,Sailing,Sailing Women's One Person Dinghy,Bronze
1984,Summer,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Silver
1992,Summer,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Gold
1964,Summer,BRA,Brazil,Basketball,Basketball Men's Basketball,Bronze
1960,Summer,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Gold
1928,Summer,ITA,Italy,Gymnastics,Gymnastics Women's Team All-Around,Silver
2000,Summer,USA,United States,Softball,Softball Women's Softball,Gold
1920,Summer,ITA,Italy,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
1964,Summer,HUN,Hungary,Water Polo,Water Polo Men's Water Polo,Gold
1948,Summer,SWE,Ali-Baba II,Sailing,Sailing Mixed 6 metres,Bronze
1972,Summer,GDR,East Germany-1,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
2002,Winter,FRA,France,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
1952,Summer,URS,Soviet Union,Rowing,Rowing Men's Coxed Eights,Silver
1964,Summer,USA,United States,Rowing,Rowing Men's Coxed Eights,Gold
2002,Winter,SUI,Switzerland,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
2002,Winter,SUI,Switzerland,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
2010,Winter,SUI,Switzerland,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
2010,Winter,SUI,Switzerland,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
1900,Summer,GER,Favorite Hammonia-3,Rowing,Rowing Men's Coxed Fours,Bronze
1976,Summer,FRG,West Germany,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
1996,Summer,NGR,Nigeria,Football,Football Men's Football,Gold
2002,Winter,USA,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
1908,Summer,GBR,Great Britain,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Gold
1908,Summer,GBR,Great Britain,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Bronze
1964,Summer,AUS,Australia,Athletics,Athletics Women's 400 metres,Bronze
